Marcador Inicial (min),Marcador Final (min)
9.3,12.2
16.4,17.9
18.5,20.3
21.4,22.8
25.1,29.4
33.2,35.6
38.2,39.4
40.4,48.9
55.1,60.1
63.3,65.6
71.2,75.2
77.9,81.8
85.0,89.5
94.7,96.5
101.2,103.7
105.1,111.2
114.5,117.3
117.9,119.5
